id,language,value,description,year,latitude,longitude,genus,family,source,id_url,language_url,source_url
khm,Khmer,2,Words derived from Min Nan Chinese te,1049,12.5,105,Khmer,Austro-Asiatic,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-khm,http://wals.info/languoid/lect/wals_code_khm,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1049]
khs,Khasi,1,Words derived from Sinitic cha,39,25.5,92,Khasian,Austro-Asiatic,Rabel 1961,http://wals.info/valuesets/138A-khs,http://wals.info/languoid/lect/wals_code_khs,http://wals.info/refdb/record/Rabel-1961[39]
kik,Kikuyu,1,Words derived from Sinitic cha,1064,-0.75,36.75,Bantoid,Niger-Congo,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-kik,http://wals.info/languoid/lect/wals_code_kik,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1064]
kin,Kinyarwanda,1,Words derived from Sinitic cha,1077,-2,30,Bantoid,Niger-Congo,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-kin,http://wals.info/languoid/lect/wals_code_kin,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1077]
kji,Kurmanji,1,Words derived from Sinitic cha,1091,38,42,Iranian,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-kji,http://wals.info/languoid/lect/wals_code_kji,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1091]
kjn,Kunjen,3,Others,NA,-16.5,142.5,Northern Pama-Nyungan,Pama-Nyungan,Hamilton 1998,http://wals.info/valuesets/138A-kjn,http://wals.info/languoid/lect/wals_code_kjn,http://wals.info/refdb/record/Hamilton-1998
kkn,Konkani,1,Words derived from Sinitic cha,1084,15.25,74,Indic,Indo-European,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-kkn,http://wals.info/languoid/lect/wals_code_kkn,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[1084]
kkp,Karakalpak,1,Words derived from Sinitic cha,NA,43,60,Turkic,Altaic,Baskakov 1958,http://wals.info/valuesets/138A-kkp,http://wals.info/languoid/lect/wals_code_kkp,http://wals.info/refdb/record/Baskakov-1958
kmk,Kalmyk,1,Words derived from Sinitic cha,NA,44,83,Mongolic,Altaic,Zwick 1854,http://wals.info/valuesets/138A-kmk,http://wals.info/languoid/lect/wals_code_kmk,http://wals.info/refdb/record/Zwick-1854
knr,Kanuri,2,Words derived from Min Nan Chinese te,NA,12,13,Western Saharan,Saharan,Cyffer and Hutchison 1990,http://wals.info/valuesets/138A-knr,http://wals.info/languoid/lect/wals_code_knr,http://wals.info/refdb/record/Cyffer-and-Hutchison-1990
koi,Koiari,2,Words derived from Min Nan Chinese te,NA,-9.5,147.333333333,Koiarian,Trans-New Guinea,Dutton 1992,http://wals.info/valuesets/138A-koi,http://wals.info/languoid/lect/wals_code_koi,http://wals.info/refdb/record/Dutton-1992
kor,Korean,1,Words derived from Sinitic cha,747,37.5,128,Korean,Korean,Malherbe and Rosenberg 1996,http://wals.info/valuesets/138A-kor,http://wals.info/languoid/lect/wals_code_kor,http://wals.info/refdb/record/Malherbe-and-Rosenberg-1996[747]
